NinjaScript File,Error,Code,Line,Column,
RLExecutor.cs,Ambiguity between 'RLExecutor.OrderPort' and 'RLExecutor.OrderPort',CS0229,515,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.ConnectionTimeout' and 'RLExecutor.ConnectionTimeout',CS0229,516,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.BasePositionSize' and 'RLExecutor.BasePositionSize',CS0229,517,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.OrderRetryCount' and 'RLExecutor.OrderRetryCount',CS0229,518,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,519,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,527,32,
RLExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,532,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.ServerIP' and 'RLExecutor.ServerIP',CS0229,532,28,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataPort' and 'RLExecutor.dataPort',CS0229,533,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.DataPort' and 'RLExecutor.DataPort',CS0229,533,28,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderPort' and 'RLExecutor.orderPort',CS0229,534,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.OrderPort' and 'RLExecutor.OrderPort',CS0229,534,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,535,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.ConnectionTimeout' and 'RLExecutor.ConnectionTimeout',CS0229,535,37,
RLExecutor.cs,Ambiguity between 'RLExecutor.basePositionSize' and 'RLExecutor.basePositionSize',CS0229,536,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.BasePositionSize' and 'RLExecutor.BasePositionSize',CS0229,536,36,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderRetryCount' and 'RLExecutor.orderRetryCount',CS0229,537,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.OrderRetryCount' and 'RLExecutor.OrderRetryCount',CS0229,537,35,
RLExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,540,32,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,543,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,543,59,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataPort' and 'RLExecutor.dataPort',CS0229,543,69,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataBufferSize' and 'RLExecutor.dataBufferSize',CS0229,543,79,
RLExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,543,95,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,544,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,544,61,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderPort' and 'RLExecutor.orderPort',CS0229,544,71,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataBufferSize' and 'RLExecutor.dataBufferSize',CS0229,544,82,
RLExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,544,98,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,547,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,548,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.connectionErrorLogged' and 'RLExecutor.connectionErrorLogged',CS0229,553,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,562,46,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,564,47,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,578,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,579,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,612,21,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.ProcessTradingSignal(string)' and 'RLExecutor.ProcessTradingSignal(string)',CS0121,641,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,646,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,658,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,676,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,684,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,691,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,698,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,703,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentEMA' and 'RLExecutor.currentEMA',CS0229,704,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentPositionSize' and 'RLExecutor.currentPositionSize',CS0229,705,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,706,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,707,13,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.ExecuteTradingDecision()' and 'RLExecutor.ExecuteTradingDecision()',CS0121,713,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,716,13,
RLExecutor.cs,Ambiguity between 'RLExecutor.basePositionSize' and 'RLExecutor.basePositionSize',CS0229,729,50,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentPositionSize' and 'RLExecutor.currentPositionSize',CS0229,729,69,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,737,21,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,739,53,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,740,55,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,742,26,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,744,53,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,745,55,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,749,50,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentEMA' and 'RLExecutor.currentEMA',CS0229,749,71,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,755,59,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,759,61,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,782,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,785,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,793,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,796,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,815,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,818,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,830,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,833,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,851,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,854,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,866,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,869,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,895,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,898,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,907,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,910,29,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,924,25,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,925,25,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,934,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,937,33,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,945,25,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,946,25,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,949,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,952,29,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,965,25,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,966,25,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,975,33,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,978,33,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,986,25,
RLExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,987,25,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,990,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,993,29,
RLExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,1076,21,
TraderExecutor.cs,Ambiguity between 'RLExecutor.ServerIP' and 'RLExecutor.ServerIP',CS0229,526,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.DataPort' and 'RLExecutor.DataPort',CS0229,527,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.OrderPort' and 'RLExecutor.OrderPort',CS0229,528,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.ConnectionTimeout' and 'RLExecutor.ConnectionTimeout',CS0229,529,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.BasePositionSize' and 'RLExecutor.BasePositionSize',CS0229,530,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.OrderRetryCount' and 'RLExecutor.OrderRetryCount',CS0229,531,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,532,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,542,32,
TraderExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,547,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.ServerIP' and 'RLExecutor.ServerIP',CS0229,547,28,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataPort' and 'RLExecutor.dataPort',CS0229,548,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.DataPort' and 'RLExecutor.DataPort',CS0229,548,28,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderPort' and 'RLExecutor.orderPort',CS0229,549,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.OrderPort' and 'RLExecutor.OrderPort',CS0229,549,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,550,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.ConnectionTimeout' and 'RLExecutor.ConnectionTimeout',CS0229,550,37,
TraderExecutor.cs,Ambiguity between 'RLExecutor.basePositionSize' and 'RLExecutor.basePositionSize',CS0229,551,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.BasePositionSize' and 'RLExecutor.BasePositionSize',CS0229,551,36,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderRetryCount' and 'RLExecutor.orderRetryCount',CS0229,552,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.OrderRetryCount' and 'RLExecutor.OrderRetryCount',CS0229,552,35,
TraderExecutor.cs,Ambiguity between 'RLExecutor.UseManagedOrders' and 'RLExecutor.UseManagedOrders',CS0229,555,32,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,558,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,558,59,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataPort' and 'RLExecutor.dataPort',CS0229,558,69,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataBufferSize' and 'RLExecutor.dataBufferSize',CS0229,558,79,
TraderExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,558,95,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,559,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.listenIP' and 'RLExecutor.listenIP',CS0229,559,61,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderPort' and 'RLExecutor.orderPort',CS0229,559,71,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataBufferSize' and 'RLExecutor.dataBufferSize',CS0229,559,82,
TraderExecutor.cs,Ambiguity between 'RLExecutor.connectionTimeout' and 'RLExecutor.connectionTimeout',CS0229,559,98,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,562,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,563,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.connectionErrorLogged' and 'RLExecutor.connectionErrorLogged',CS0229,568,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,577,46,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,579,47,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,593,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,594,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.dataServer' and 'RLExecutor.dataServer',CS0229,627,21,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.ProcessTradingSignal(string)' and 'RLExecutor.ProcessTradingSignal(string)',CS0121,656,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,661,17,
DataExtractorcs.cs,The name 'BollingerBands' does not exist in the current context,CS0103,134,26,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,673,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,694,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,704,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,711,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,718,17,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,723,13,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentPositionSize' and 'RLExecutor.currentPositionSize',CS0229,724,13,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,725,13,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,726,13,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.ExecuteTradingDecision()' and 'RLExecutor.ExecuteTradingDecision()',CS0121,736,13,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,739,13,
TraderExecutor.cs,Ambiguity between 'RLExecutor.basePositionSize' and 'RLExecutor.basePositionSize',CS0229,752,50,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentPositionSize' and 'RLExecutor.currentPositionSize',CS0229,752,69,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,760,21,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,762,53,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,763,55,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,765,26,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,767,53,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,768,55,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,772,50,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentEMA' and 'RLExecutor.currentEMA',CS0229,772,71,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,778,59,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentSignal' and 'RLExecutor.currentSignal',CS0229,782,61,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,805,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,808,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,816,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,819,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,838,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,841,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,853,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,856,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,874,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,877,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,889,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,892,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,918,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,921,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,930,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,933,29,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,947,25,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,948,25,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,957,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,960,33,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,968,25,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,969,25,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,972,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,975,29,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,988,25,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,989,25,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,998,33,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,1001,33,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,1009,25,
TraderExecutor.cs,The call is ambiguous between the following methods or properties: 'RLExecutor.CancelOrder(string)' and 'RLExecutor.CancelOrder(string)',CS0121,1010,25,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentStopLoss' and 'RLExecutor.currentStopLoss',CS0229,1013,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.currentTakeProfit' and 'RLExecutor.currentTakeProfit',CS0229,1016,29,
TraderExecutor.cs,Ambiguity between 'RLExecutor.orderServer' and 'RLExecutor.orderServer',CS0229,1099,21,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.Client' and 'RLExecutor.TcpServerManager.Client',CS0229,38,40,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.Client' and 'RLExecutor.TcpServerManager.Client',CS0229,38,58,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.Name' and 'RLExecutor.TcpServerManager.Name',CS0229,65,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.ServerIP' and 'RLExecutor.TcpServerManager.ServerIP',CS0229,66,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.Port' and 'RLExecutor.TcpServerManager.Port',CS0229,67,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.bufferSize' and 'RLExecutor.TcpServerManager.bufferSize',CS0229,68,22,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.connectionTimeout' and 'RLExecutor.TcpServerManager.connectionTimeout',CS0229,69,22,
RLExecutor.cs,Ambiguity between 'RLExecutor.TcpServerManager.messageBuffer' and 'RLExecutor.TcpServerManager.messageBuffer',CS0229,70,17,
